,Game_Name,Avg_players
24,Dota 2,451064.7969369368
56,PUBG: Battlegrounds,443975.2565454546
14,Counter Strike: Global Offensive,327054.718828829
3,Apex Legends,120382.51727272727
88,Valheim,72749.18
21,Destiny 2,70873.83916666667
41,Grand Theft Auto V,66853.73282051283
49,NARAKA: BLADEPOINT,59720.2
76,Team Fortress 2,55087.74324324324
83,Tom Clancy's Rainbow Six Seige,53576.63600000004
